No,病院ID,有効,"接種日
※インポート時紐付け不要","接種（予約）開始時間
※インポート時紐付け不要","接種（予約）終了時間
※インポート時紐付け不要","昼休み開始時間
※インポート時紐付け不要","昼休み終了時間
※インポート時紐付け不要",予約枠あたりの時間（分）,予約枠あたりの接種者数,予約枠あたりの優先接種者数,予約開始までの日数,予約終了までの日数,予約変更までの日数,外部ID,開始時,終了時,昼休み開始,昼休み終了
40,7/01～7/11_西南生涯学習センター,TRUE,2021-07-11,9:50,14:50,10:50,13:50,10,5,2,120,2,2,7/01～7/11_西南生涯学習センター/2021-07-11,2021-07-11T09:50:00.000+9,2021-07-11T14:50:00.000+9,2021-07-11T10:50:00.000+9,2021-07-11T13:50:00.000+9
41,7/01～7/11_西南生涯学習センター,TRUE,2021-07-25,9:50,14:50,10:50,13:50,10,5,2,0,0,0,7/01～7/11_西南生涯学習センター/2021-07-25,2021-07-25T09:50:00.000+9,2021-07-25T14:50:00.000+9,2021-07-25T10:50:00.000+9,2021-07-25T13:50:00.000+9
42,7/01～7/11_西南生涯学習センター,TRUE,2021-08-01,9:50,14:50,10:50,13:50,10,5,2,0,0,0,7/01～7/11_西南生涯学習センター/2021-08-01,2021-08-01T09:50:00.000+9,2021-08-01T14:50:00.000+9,2021-08-01T10:50:00.000+9,2021-08-01T13:50:00.000+9
43,7/14～8/01_総合保健福祉センター,TRUE,2021-07-14,13:20,14:40,14:00,14:20,10,1,0,120,2,2,7/14～8/01_総合保健福祉センター/2021-07-14,2021-07-14T13:20:00.000+9,2021-07-14T14:40:00.000+9,2021-07-14T14:00:00.000+9,2021-07-14T14:20:00.000+9
44,7/14～8/01_総合保健福祉センター,TRUE,2021-07-15,13:20,14:40,14:00,14:20,10,1,0,120,2,2,7/14～8/01_総合保健福祉センター/2021-07-15,2021-07-15T13:20:00.000+9,2021-07-15T14:40:00.000+9,2021-07-15T14:00:00.000+9,2021-07-15T14:20:00.000+9
45,7/14～8/01_総合保健福祉センター,TRUE,2021-07-21,13:20,14:40,14:00,14:20,10,1,0,120,2,2,7/14～8/01_総合保健福祉センター/2021-07-21,2021-07-21T13:20:00.000+9,2021-07-21T14:40:00.000+9,2021-07-21T14:00:00.000+9,2021-07-21T14:20:00.000+9
46,7/14～8/01_総合保健福祉センター,TRUE,2021-07-28,13:20,14:40,14:00,14:20,10,1,0,120,2,2,7/14～8/01_総合保健福祉センター/2021-07-28,2021-07-28T13:20:00.000+9,2021-07-28T14:40:00.000+9,2021-07-28T14:00:00.000+9,2021-07-28T14:20:00.000+9
47,7/14～8/01_総合保健福祉センター,TRUE,2021-07-29,13:20,14:40,14:00,14:20,10,1,0,120,2,2,7/14～8/01_総合保健福祉センター/2021-07-29,2021-07-29T13:20:00.000+9,2021-07-29T14:40:00.000+9,2021-07-29T14:00:00.000+9,2021-07-29T14:20:00.000+9
48,7/14～8/01_総合保健福祉センター,TRUE,2021-08-04,13:20,14:40,14:00,14:20,10,1,0,0,0,0,7/14～8/01_総合保健福祉センター/2021-08-04,2021-08-04T13:20:00.000+9,2021-08-04T14:40:00.000+9,2021-08-04T14:00:00.000+9,2021-08-04T14:20:00.000+9
49,7/14～8/01_総合保健福祉センター,TRUE,2021-08-05,13:20,14:40,14:00,14:20,10,1,0,0,0,0,7/14～8/01_総合保健福祉センター/2021-08-05,2021-08-05T13:20:00.000+9,2021-08-05T14:40:00.000+9,2021-08-05T14:00:00.000+9,2021-08-05T14:20:00.000+9
50,7/14～8/01_総合保健福祉センター,TRUE,2021-08-11,13:20,14:40,14:00,14:20,10,1,0,0,0,0,7/14～8/01_総合保健福祉センター/2021-08-11,2021-08-11T13:20:00.000+9,2021-08-11T14:40:00.000+9,2021-08-11T14:00:00.000+9,2021-08-11T14:20:00.000+9
