周,No,病院ID,有効,"接種日
※インポート時紐付け不要","接種（予約）開始時間
※インポート時紐付け不要","接種（予約）終了時間
※インポート時紐付け不要","昼休み開始時間
※インポート時紐付け不要","昼休み終了時間
※インポート時紐付け不要",予約枠あたりの時間（分）,予約枠あたりの接種者数,予約枠あたりの優先接種者数,予約開始までの日数,予約終了までの日数,予約変更までの日数,外部ID,開始時,終了時,昼休み開始,昼休み終了
5,59,8/04～8/22_総合保健福祉センター(60歳),TRUE,2021-06-16,13:20,14:40,14:10,14:20,10,4,1,120,3,3,8/04～8/22_総合保健福祉センター(60歳)/2021-06-16,2021-06-16T13:20:00.000+9,2021-06-16T14:40:00.000+9,2021-06-16T14:10:00.000+9,2021-06-16T14:20:00.000+9
5,60,8/04～8/22_総合保健福祉センター(60歳),TRUE,2021-06-17,13:20,14:40,14:10,14:20,10,4,1,120,3,3,8/04～8/22_総合保健福祉センター(60歳)/2021-06-17,2021-06-17T13:20:00.000+9,2021-06-17T14:40:00.000+9,2021-06-17T14:10:00.000+9,2021-06-17T14:20:00.000+9
5,61,8/04～8/22_総合保健福祉センター(60歳),TRUE,2021-06-23,13:20,14:40,14:10,14:20,10,4,1,0,0,0,8/04～8/22_総合保健福祉センター(60歳)/2021-06-23,2021-06-23T13:20:00.000+9,2021-06-23T14:40:00.000+9,2021-06-23T14:10:00.000+9,2021-06-23T14:20:00.000+9
5,62,8/04～8/22_総合保健福祉センター(60歳),TRUE,2021-06-24,13:20,14:40,14:10,14:20,10,4,1,0,0,0,8/04～8/22_総合保健福祉センター(60歳)/2021-06-24,2021-06-24T13:20:00.000+9,2021-06-24T14:40:00.000+9,2021-06-24T14:10:00.000+9,2021-06-24T14:20:00.000+9
5,63,8/04～8/22_総合保健福祉センター(60歳),TRUE,2021-06-30,13:20,14:40,14:10,14:20,10,4,1,0,0,0,8/04～8/22_総合保健福祉センター(60歳)/2021-06-30,2021-06-30T13:20:00.000+9,2021-06-30T14:40:00.000+9,2021-06-30T14:10:00.000+9,2021-06-30T14:20:00.000+9
5,64,8/04～8/22_総合保健福祉センター(60歳),TRUE,2021-07-01,13:20,14:40,14:10,14:20,10,4,1,0,0,0,8/04～8/22_総合保健福祉センター(60歳)/2021-07-01,2021-07-01T13:20:00.000+9,2021-07-01T14:40:00.000+9,2021-07-01T14:10:00.000+9,2021-07-01T14:20:00.000+9
5,65,8/04～8/22_総合保健福祉センター(60歳),TRUE,2021-07-07,13:20,14:40,14:10,14:20,10,4,1,0,0,0,8/04～8/22_総合保健福祉センター(60歳)/2021-07-07,2021-07-07T13:20:00.000+9,2021-07-07T14:40:00.000+9,2021-07-07T14:10:00.000+9,2021-07-07T14:20:00.000+9
5,66,8/04～8/22_総合保健福祉センター(60歳),TRUE,2021-07-08,13:20,14:40,14:10,14:20,10,4,1,0,0,0,8/04～8/22_総合保健福祉センター(60歳)/2021-07-08,2021-07-08T13:20:00.000+9,2021-07-08T14:40:00.000+9,2021-07-08T14:10:00.000+9,2021-07-08T14:20:00.000+9
5,67,8/04～8/22_総合保健福祉センター(60歳),TRUE,2021-06-05,13:20,16:40,,,10,4,1,120,3,3,8/04～8/22_総合保健福祉センター(60歳)/2021-06-05,2021-06-05T13:20:00.000+9,2021-06-05T16:40:00.000+9,2021-06-05T00:00:00.000+9,2021-06-05T00:00:00.000+9
5,68,8/04～8/22_総合保健福祉センター(60歳),TRUE,2021-06-12,13:20,16:40,,,10,4,1,120,3,3,8/04～8/22_総合保健福祉センター(60歳)/2021-06-12,2021-06-12T13:20:00.000+9,2021-06-12T16:40:00.000+9,2021-06-12T00:00:00.000+9,2021-06-12T00:00:00.000+9
